Index,Index in initial List,CWNS_No,Total Flow (MGD),City,County,State,Has Cogen,Est. Electricity Demand (MW),Est. Gas Demand (therms/hr),Electricity Utility,Gas Utility,Electric URL,Gas URL
19,748,36002001006,64.06,Brooklyn,Kings,NY,Yes,4.671041667,15.93909953,Con Edison,National Grid,https://www.coned.com/_external/cerates/documents/elecPSC10/electric-tariff.pdf,https://www.nationalgridus.com/media/pdfs/billing-payments/gas-rates/nym/kedny_gas_delivery_charges_-_effective_september_2021.pdf
20,14108,41000017001,64.5,Portland,Multnomah,OR,Yes,4.703125,16.0485782,Portland General Electric,NW Natural,https://assets.ctfassets.net/416ywc1laqmd/6dAeVKHyINXoh5FpDgllNJ/c1776db03882ca94ba5465c5848e49c6/Sched_089.pdf,https://www.nwnatural.com/about-us/rates-and-regulations/billing-rates
21,4764,47000245002,65,CHATTANOOGA,Hamilton,TN,No,9.479166667,0,EPB,Chattanooga gas,https://assets.epb.com/media/rates/Oct%202018/GSB%20Summary%20Oct%202018.pdf,
22,1309,24000001002,67,Baltimore,Baltimore City,MD,No,9.770833333,0,Baltimore Gas and Electric,Baltimore Gas and Electric,https://www.bge.com/MyAccount/MyBillUsage/Documents/Electric/P3_SCH_P.pdf,https://www.bge.com/MyAccount/MyBillUsage/Documents/Gas/GasScheduleIS.pdf
23,2155,42006056001,68.59,Erie City,Erie,PA,No,10.00270833,0,Penelec,,https://www.firstenergycorp.com/content/dam/customer/Customer%20Choice/Files/PA/tariffs/Penelec-Tariff-81-Supp-117.pdf,
24,14352,53000776001,70,Renton,King,WA,Yes,5.104166667,17.41706161,Puget Sound Energy,Puget Sound Energy,https://www.pse.com/-/media/Project/PSE/Portal/Rate-documents/summ_elec_prices_2021_10_01.pdf?sc_lang=en,https://www.pse.com/-/media/Project/PSE/Portal/Rate-documents/summ_gas_prices_2021_10_01.pdf?sc_lang=en
25,4874,47000940001,70.5,Memphis,Shelby,TN,No,10.28125,0,"Memphis Light, Gas, and Water (MLGW)",,https://www.mlgw.com/images/content/files/pdf_rates/GSA%20Jan21.pdf,
26,1103,36007136001,71.153,Syracuse,Onondaga,NY,Yes,5.188239583,17.7039455,National Grid,National Grid,https://www.nationalgridus.com/Upstate-NY-Business/Rates/Service-Rates,https://www.nationalgridus.com/Upstate-NY-Business/Rates/Service-Rates
27,6787,39002093001,72,Dayton,Montgomery,OH,Yes,5.25,17.91469194,AES Ohio,Centerpoint,https://www.aes-ohio.com/sites/default/files/2021-06/D20%20-%20Primary%206-1-21.pdf,https://midwest.centerpointenergy.com/assets/downloads/rates/oh-gas-tariff.pdf
28,3117,12000001001,72.5,Pompano Beach,Broward,FL,Yes,5.286458333,18.03909953,Florida power and light,Florida Public Utilities Company,https://www.fpl.com/content/dam/fpl/us/en/rates/pdf/bus-may-2021.pdf,https://fpuc.com/wp-content/uploads/MASTER-Combined-Tariff-FINAL-w-2021-rates-and-sheet-updates.pdf
