Index,Index in initial List,CWNS_No,Total Flow,City,County,State,Has CHP,Electricity Utility,Gas Utility,Electric URL,Gas URL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gas,,,,,,,,,,,,,,,,,,,,,URL
1,3176,12000053001,50.5,Tampa,Hillsborough,FL,Yes,TECO,TECO,https://www.electricitylocal.com/states/florida/tampa/,https://naturalgaslocal.com/states/florida/tampa/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,9269,48003033002,52.66,Austin,Travis,TX,No,Austin Energy,Texas Gas Service,https://austinenergy.com/ae/rates/commercial-rates/commercial-electric-rates-and-line-items,https://www.texasgasservice.com//media/TGS/Tariffs/CentralGulf/3Z-CG.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,12137,31001825002,53,BELLEVUE,Sarpy,NE,No,Omaha Public Power District,MUD Omaha,https://www.oppd.com/media/207840/oppd-rate-manual.pdf,https://www.mudomaha.com/node/263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,710,36001010001,53.017,,Nassau,NY,No,PSEG,National Grid,https://www.psegliny.com/aboutpseglongisland/ratesandtariffs/-/media/DBE8C9D907C7433784EAACCA8A1E9852.ashx,https://www.nationalgridus.com/Long-Island-NY-Business/Bills-Meters-and-Rates/Service-Rates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,712,36001010017,53.017,East Rockaway,Nassau,NY,No,PSEG,National Grid,https://www.psegliny.com/aboutpseglongisland/ratesandtariffs/-/media/DBE8C9D907C7433784EAACCA8A1E9852.ashx,https://www.nationalgridus.com/Long-Island-NY-Business/Bills-Meters-and-Rates/Service-Rates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,27,9000641001,53.48,Hartford,Hartford,CT,No,Eversource,Connecticut Natural Gas,https://www.eversource.com/content/docs/default-source/rates-tariffs/ct-electric/rate-58-ct.pdf?sfvrsn=e441c762_46,https://www.cngcorp.com/wps/wcm/connect/www.cngcorp.com-20629/d21d0071-1df2-4139-ac34-ac9f74b1ce79/06a-LGS+%28Large+General+Service%29.pdf?MOD=AJPERES&amp;CACHEID=ROOTWORKSPACE.Z18_J092I2G0NODI40A73GVBIB3O26-d21d0071-1df2-4139-ac34-ac9f74b1ce79-nAZUJ0C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,13549,6005025001,55,Stockton,San Joaquin,CA,Yes,Pacific  Gas and Energy,Pacific  Gas and Energy,https://www.pge.com/tariffs/electric.shtml#INDUSTRIAL,https://www.pge.com/tariffs/assets/pdf/tariffbook/GAS_SCHEDS_G-NR2.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8492,35000021001,56,ALBUQUERQUE,Bernalillo,NM,Yes,PNM,New Mexico Gas Company,https://www.pnm.com/documents/396023/396197/schedule_4_b.pdf/c81201a9-42a2-4787-8552-3ecadc8be169?t=1546288357057,https://www.nmgco.com/en/cost_of_gas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,711,36001010006,57.067,Wantagh,Nassau,NY,No,PSEG,National Grid,https://www.nationalgridus.com/Upstate-NY-Business/Rates/Service-Rates,https://www.nationalgridus.com/Upstate-NY-Business/Rates/Service-Rates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,9578,48008015001,58,San Antonio,Bexar,TX,No,CPS Energy,CPS Energy,https://www.cpsenergy.com/content/dam/corporate/en/Documents/Rate_ExtraLargePowerService.pdf,https://www.cpsenergy.com/content/dam/corporate/en/Documents/Rate_LargeVolumeGas.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,650,34006012001,58.8,Camden,Camden,NJ,Yes,PUBLIC SERVICE ELECTRIC AND GAS COMPANY,PUBLIC SERVICE ELECTRIC AND GAS COMPANY,https://nj.pseg.com/aboutpseg/regulatorypage/-/media/2DC2339E928A4DD08F4F10629F484DA4.ashx,https://nj.pseg.com/aboutpseg/regulatorypage/-/media/D1C183F23D1B4603A10CD633881AF06B.ashx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,13517,6004010004,59,Van Nuys,Los Angeles,CA,No,Southern California Edison,Socal Gas,https://library.sce.com/content/dam/sce-doclib/public/regulatory/tariff/electric/schedules/general-service-&-industrial-rates/ELECTRIC_SCHEDULES_GS-2.pdf,https://www.socalgas.com/pay-bill/understanding-your-bill/natural-gas-prices-explained,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,749,36002001007,60,Brooklyn,Kings,NY,Yes,Con Edison,National Grid,https://www.nationalgridus.com/Upstate-NY-Home/Rates/Supply-Costs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2419,51000161001,60,Richmond,Richmond City,VA,No,Dominion energy,Natural Gas Utility - City of Richmond,https://cdn-dominionenergy-prd-001.azureedge.net/-/media/pdfs/virginia/business-rates/schedule-gs4.pdf?la=en&rev=2db2a8956bf44d598d0b7d0030c49841&hash=B9FD25EC56313F057F8647DFC8F67BBC,https://www.rva.gov/public-utilities/utility-rates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,8721,40000123012,60,Oklahoma City,Oklahoma,OK,No,OG&E,Oklahoma Natural Gas,https://www.oge.com/wps/wcm/connect/ed8dd0f5-d6d9-4879-9544-708f36b8c0cc/18.00+-+LPL-TOU+Large+Power+and+Light+Time-of-Use+Stamped+Approved.pdf?MOD=AJPERES&CACHEID=ROOTWORKSPACE-ed8dd0f5-d6d9-4879-9544-708f36b8c0cc-mS2ssJy,https://www.oklahomanaturalgas.com//media/ONG/Tariffs/291S.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,14409,53001280001,60,Tacoma,Pierce,WA,Yes,Tacoma Public utilities,Puget Sound Energy,https://www.mytpu.org/wp-content/uploads/HVG_2021.pdf,https://www.pse.com/pages/rates/schedule-summaries#sort=%40documentdate%20descending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,746,36002001004,61.06,College Point,Queens,NY,Yes,Con Edison,National Grid,https://www.nationalgridus.com/Upstate-NY-Home/Rates/Supply-Costs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,13869,32000011001,62,Las Vegas,Clark,NV,No,NV energy,Southwest Gas,https://www.nvenergy.com/publish/content/dam/nvenergy/brochures_arch/about-nvenergy/rates-regulatory/np_com_rate.pdf,https://www.swgas.com/7400000300173/21-0701--NV-Gas-Tariff-No.-7_Rev-No.-80.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,748,36002001006,64.06,Brooklyn,Kings,NY,Yes,Con Edison,National Grid,https://www.nationalgridus.com/Upstate-NY-Home/Rates/Supply-Costs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,14108,41000017001,64.5,Portland,Multnomah,OR,Yes,Portland General Electric,NW Natural,https://assets.ctfassets.net/416ywc1laqmd/6dAeVKHyINXoh5FpDgllNJ/c1776db03882ca94ba5465c5848e49c6/Sched_089.pdf,https://www.nwnatural.com/about-us/rates-and-regulations/billing-rates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,4764,47000245002,65,CHATTANOOGA,Hamilton,TN,No,EPB,Chattanooga gas,https://static.epb.com/media/documents/EPB_Retail_Rate_Summary_Jan_2020_v2.pdf,https://www.chattanoogagas.com/business/pricing-and-rate-plans.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1309,24000001002,67,Baltimore,Baltimore City,MD,No,Baltimore Gas and Electric,Baltimore Gas and Electric,https://www.bge.com/MyAccount/MyBillUsage/Documents/Electric/P3_SCH_P.pdf,https://www.bge.com/MyAccount/MyBillUsage/Documents/Gas/GasScheduleIS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,2155,42006056001,68.59,Erie City,Erie,PA,No,Penelec,National Fuel,https://www.firstenergycorp.com/content/dam/customer/Customer%20Choice/Files/PA/tariffs/Penelec-Tariff-81-Supp-117.pdf,https://www.nationalfuel.com/wp-content/uploads/documents/PA-Aug21.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,14352,53000776001,70,Renton,King,WA,Yes,Puget Sound Energy,Puget Sound Energy,https://www.pse.com/pages/rates/schedule-summaries#sort=%40documentdate%20descending,https://www.pse.com/pages/rates/schedule-summaries#sort=%40documentdate%20descending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,4874,47000940001,70.5,Memphis,Shelby,TN,No,"Memphis Light, Gas, and Water (MLGW)","Memphis Light, Gas, and Water (MLGW)",https://www.mlgw.com/images/content/files/pdf_rates/GSA%20Jan21.pdf,http://www.mlgw.com/images/content/files/pdf_rates/G8-G9%20Jul18.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1103,36007136001,71.153,Syracuse,Onondaga,NY,Yes,National Grid,National Grid,https://www.nationalgridus.com/Upstate-NY-Home/Rates/Supply-Costs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,6787,39002093001,72,Dayton,Montgomery,OH,Yes,AES Ohio,Centerpoint,https://www.aes-ohio.com/sites/default/files/2021-06/D20%20-%20Primary%206-1-21.pdf,https://midwest.centerpointenergy.com/assets/downloads/rates/oh-gas-tariff.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,3117,12000001001,72.5,Pompano Beach,Broward,FL,Yes,Florida power and light,Florida Public Utilities Company,https://www.fpl.com/content/dam/fpl/us/en/rates/pdf/bus-may-2021.pdf,https://fpuc.com/wp-content/uploads/MASTER-Combined-Tariff-FINAL-w-2021-rates-and-sheet-updates.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1307,10000027001,75,Wilmington,New Castle,DE,Yes,Delmarva,Delmarva,https://www.delmarva.com/Documents/Master%20tariff%20eff%2007-01-2021%20filed%2006-29-21%20DSIC.pdf,https://www.delmarva.com/Documents/GAS%20Master%20Tariff%20eff%2007-01-21%20filed%2006-29-21%20GAS%20DSIC.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2414,51000154002,75,Richmond,Henrico,VA,No,Dominion energy,Natural Gas Utility - City of Richmond,https://cdn-dominionenergy-prd-001.azureedge.net/-/media/pdfs/virginia/business-rates/schedule-gs4.pdf?la=en&rev=2db2a8956bf44d598d0b7d0030c49841&hash=B9FD25EC56313F057F8647DFC8F67BBC,https://www.rva.gov/public-utilities/utility-rates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,13568,6005053001,75,Fresno,Fresno,CA,Yes,Pacific  Gas and Energy,Pacific  Gas and Energy,https://www.pge.com/tariffs/electric.shtml#INDUSTRIAL,https://www.pge.com/tariffs/assets/pdf/tariffbook/GAS_SCHEDS_G-NR2.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,545,34001005001,75.19,Little Ferry,Bergen,NJ,Yes,PUBLIC SERVICE ELECTRIC AND GAS COMPANY,PUBLIC SERVICE ELECTRIC AND GAS COMPANY,https://nj.pseg.com/aboutpseg/regulatorypage/-/media/2DC2339E928A4DD08F4F10629F484DA4.ashx,https://nj.pseg.com/aboutpseg/regulatorypage/-/media/D1C183F23D1B4603A10CD633881AF06B.ashx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,13837,15000003001,77.6,Honolulu,Honolulu,HI,Yes,Hawaiian Electric,Hawaii Gas,https://www.hawaiianelectric.com/documents/billing_and_payment/rates/hawaiian_electric_rates/heco_rates_tou_p.pdf,https://www.hawaiigas.com/media/pmbp4pdr/hgas_tariff_oahu_rate_sch_eff_02-01-2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,9352,48004026002,78.81,Dallas,Dallas,TX,Yes,Oncor,Atmos Energy,https://www.vaultelectricity.com/Texas-electric-companies/TX-commercial-electricity-prices-rates-plans/Texas-commercial-electricity.html,https://www.atmosenergy.com/sites/default/files/mtx_aec_tariff_cee_effective_7_01_2021.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,6496,39000084001,79,Akron,Summit,OH,Yes,Ohio Edison,Dominion Energy,https://www.firstenergycorp.com/content/dam/customer/Customer%20Choice/Files/Ohio/tariffs/OE-2021-Electric-Service.pdf,https://cdn-dominionenergy-prd-001.azureedge.net/-/media/pdfs/ohio/rates-tariffs/rates-lvgss.pdf?la=en&rev=df19f8469560481dbd8e1d27c9a271c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,872,36003169012,79.428,Yonkers,Westchester,NY,Yes,Con Edison,National Grid,https://www.nationalgridus.com/Upstate-NY-Home/Rates/Supply-Costs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,6774,39001792001,79.5,Columbus,Franklin,OH,No,AEP Ohio,Columbia Gas,https://www.aepohio.com/lib/docs/ratesandtariffs/Ohio/2021-08-03_AEP_OAD_Tariff.pdf,https://www.columbiagasohio.com/docs/librariesprovider5/rates-and-tariffs/ohio-tariff.pdf?sfvrsn=113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,13400,6002032003,80,San Francisco,San Francisco,CA,Yes,Pacific  Gas and Energy,Pacific  Gas and Energy,https://www.pge.com/tariffs/electric.shtml#INDUSTRIAL,https://www.pge.com/tariffs/assets/pdf/tariffbook/GAS_SCHEDS_G-NR2.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,13405,6002036001,80,Oakland,Alameda,CA,Yes,Pacific  Gas and Energy,Pacific  Gas and Energy,https://www.pge.com/tariffs/electric.shtml#INDUSTRIAL,https://www.pge.com/tariffs/assets/pdf/tariffbook/GAS_SCHEDS_G-NR2.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,6252,26004005011,81,Wyandotte,Wayne,MI,No,DTE ELECTRIC COMPANY,DTE ELECTRIC COMPANY,https://www.michigan.gov/documents/mpsc/dtee1cur_579203_7.pdf,https://newlook.dteenergy.com/wps/wcm/connect/e862777b-ce94-4c81-8ef4-ff88298abce1/rateCard.pdf?MOD=AJPERES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,11050,29001011001,81,Kansas City,Jackson,MO,No,Evergy,Spire,https://www.evergy.com/-/media/documents/billing/missouri/detailed_tariffs_mo/gmo/large-power-service-081419.pdf?la=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
