Index,CWNS_No,Existing Total Flow (MGD),Design Flow (MGD),City,County,State,Has Cogen,Est. Existing Energy Demand (MW),Est. Existing Electric Grid Demand (MW),Est. Existing Natural Gas Demand (therms/hr),Est. Design Energy Demand (MW),Est. Design Electric Grid Demand (MW),Est. Design Natural Gas Demand (therms/hr),Electricity Utility,Gas Utility
55,42000094003,94.8,112,Philadelphia,Philadelphia,PA,No,9.875,9.875,0,11.66666667,11.66666667,0,PECO,
56,12000017027,95,120,Miami,Miami-Dade,FL,Yes,9.895833333,4.947916666,16.88388626,12.5,6.25,21.32701422,Florida Power and Light,Florida City Gas
57,39001792002,96,114,Lockbourne,Franklin,OH,No,10,10,0,11.875,11.875,0,AEP Ohio,Columbia Gas
58,48007039001,96,200,Houston,Harris,TX,No,10,10,0,20.83333333,20.83333333,0,CenterPoint Energy,
59,36002001005,96.09,100,Jamaica,Queens,NY,Yes,10.009375,5.0046875,17.07760664,10.41666667,5.208333333,17.77251185,Con Edison,National Grid
60,21000025001,97.5,120,Louisville,Jefferson,KY,No,10.15625,10.15625,0,12.5,12.5,0,Louisville Gas and Electric,
61,53000776002,110,215,Seattle,King,WA,Yes,11.45833333,5.729166666,19.54976304,22.39583333,11.19791667,38.21090047,Seattle City Light,Puget Sound Energy
62,29001023001,111,150,St. Louis,St. Louis,MO,No,11.5625,11.5625,0,15.625,15.625,0,Ameren,
63,29001023002,114,167,St. Louis,St. Louis,MO,No,11.875,11.875,0,17.39583333,17.39583333,0,Ameren,
64,18000061001,120,120,Indianapolis,Marion,IN,No,12.5,12.5,0,12.5,12.5,0,AES Indiana,
65,36002001002,122.12,200,Bronx,Bronx,NY,Yes,12.72083333,6.360416666,21.70379147,20.83333333,10.41666667,35.5450237,Con Edison,Con Edison
66,48004026001,123.704,171,Dallas,Dallas,TX,No,12.88583334,12.88583334,0,17.8125,17.8125,0,Oncor,
67,12000017004,127,143,Miami,Miami-Dade,FL,Yes,13.22916667,6.614583334,22.57109005,14.89583333,7.447916667,25.41469194,Florida Power and Light,Florida City Gas
68,36002001003,129.11,150,Astoria,Queens,NY,Yes,13.44895833,6.724479166,22.94609005,15.625,7.8125,26.65876777,Con Edison,National Grid
69,39001666001,131.09,155,Cleveland,Cuyahoga,OH,No,13.65520834,13.65520834,0,16.14583333,16.14583333,0,Cleveland Public Power,
70,48004122001,138.9,166,Fort Worth,Tarrant,TX,Yes,14.46875,7.234375,24.68601896,17.29166667,8.645833333,29.50236967,Oncor,Atmos Energy
71,4001318001,140,230,Phoenix,Maricopa,AZ,Yes,14.58333333,7.291666664,24.88151659,23.95833333,11.97916667,40.87677725,Salt River Project,Southwest Gas
72,6002041001,143.3,167,San Jose,Santa Clara,CA,Yes,14.92708333,7.463541664,25.46800948,17.39583333,8.697916667,29.68009479,Pacific Gas and Electric,Pacific Gas and Electric
73,36009071001,149,180,Buffalo,Erie,NY,No,15.52083334,15.52083334,0,18.75,18.75,0,National Grid,
74,39003369002,151,130,Cincinnati,Hamilton,OH,No,15.72916666,15.72916666,0,13.54166667,13.54166667,0,Duke Energy,
75,6008022002,151,168,Huntington Beach,Orange,CA,Yes,15.72916667,7.864583336,26.83649289,17.5,8.75,29.85781991,Southern California Edison,Southern California Gas
76,48000004001,152,175.2,Dallas,Dallas,TX,No,15.83333334,15.83333334,0,18.25,18.25,0,Oncor,
